epoch,train_loss,val_loss,lr
1,0.22138295774042172,0.10924390261456118,0.0001
2,0.0971396144778624,0.07595647707328958,0.0001
3,0.078775809928231,0.06525292184393285,0.0001
4,0.07359012480091004,0.06219301031807722,0.0001
5,0.07094238021404203,0.06658220316393901,0.0001
6,0.06875243763962802,0.06040100469175032,0.0001
7,0.0673780980907435,0.059601568001306664,0.0001
8,0.0646720765987887,0.0643894248720953,0.0001
9,0.0641360867523799,0.056224045927746824,0.0001
10,0.06195169662798408,0.058806087379738435,0.0001
11,0.061858594580723424,0.05439052231988664,0.0001
12,0.061362647349490734,0.05386622477385957,0.0001
13,0.06063231956349672,0.05561079779418848,0.0001
14,0.06106478037027112,0.05594923846044783,0.0001
15,0.05949581248590546,0.05342028441570573,0.0001
16,0.059273479397605806,0.055273197149321183,0.0001
17,0.059146520131043274,0.058224677218724104,0.0001
18,0.05957040967025461,0.05542514738390001,0.0001
19,0.05878632760395969,0.05470020191396697,0.0001
20,0.05810033520479707,0.05500486884581841,0.0001
21,0.05773758264190524,0.054285325930785326,5e-05
22,0.05670570943803683,0.05344770128949214,5e-05
23,0.0565837004432713,0.05379171031763998,5e-05
24,0.056438370519419655,0.05318015037199198,5e-05
25,0.05637123314731748,0.05527006411703966,5e-05
26,0.056737495368740856,0.05403130962434462,5e-05
27,0.056158367435645014,0.05321487525509576,5e-05
28,0.05631897608022185,0.05222125054668572,5e-05
29,0.05631137643362919,0.05285395069395082,5e-05
30,0.056281977475885925,0.05490532820507631,5e-05
31,0.05587008263725434,0.053829975110494484,5e-05
32,0.05602807343604356,0.05216994869001841,5e-05
33,0.055916473391826135,0.05377767935900365,5e-05
34,0.056012626982083286,0.05870594134775259,5e-05
35,0.05601372969520353,0.05284432549092729,5e-05
36,0.055596331270398015,0.05365396676174665,5e-05
37,0.05576609533252942,0.05734598952329765,5e-05
38,0.055685360596454056,0.054061009659100386,2.5e-05
39,0.05491148042798477,0.05280384206670826,2.5e-05
40,0.05481882757731598,0.054904723887221285,2.5e-05
41,0.0547884937620511,0.05343024868328693,2.5e-05
42,0.05471997158805819,0.05582175378577184,2.5e-05
43,0.05489216237770815,0.05360017975760718,2.5e-05
44,0.05481448958553102,0.055217815405231414,1.25e-05
45,0.05457250159369768,0.05261630444961079,1.25e-05
46,0.054471101734216196,0.05655842893204446,1.25e-05
47,0.054510248716186434,0.05195085451764576,1.25e-05
48,0.054456527936306315,0.05318921400328814,1.25e-05
49,0.05441238973153769,0.053922036567987025,1.25e-05
50,0.05447208686956089,0.056227643484786406,1.25e-05
51,0.05441270224804426,0.05317774497098842,1.25e-05
52,0.05446376371448928,0.052443038482787245,1.25e-05
53,0.05441323163354919,0.05369574071492179,6.25e-06
54,0.05415991294014193,0.05403434977693073,6.25e-06
55,0.05415772536538378,0.054211920600826455,6.25e-06
56,0.05421728768596684,0.05387074140421415,6.25e-06
57,0.05420658159593161,0.05364475228776366,6.25e-06
58,0.054213999029602444,0.054194331484830986,6.25e-06
59,0.05415033520518863,0.05355475318886466,3.125e-06
60,0.05405016002809479,0.05417344750741781,3.125e-06
61,0.05404781798974876,0.05420504270468728,3.125e-06
62,0.054040939961798,0.053550996012606863,3.125e-06
63,0.05406645089931732,0.05537897026387312,3.125e-06
64,0.05404242980599838,0.05458961275674529,3.125e-06
65,0.05403750131491327,0.054211132102093454,1.5625e-06
66,0.05396187823456134,0.054122899990465684,1.5625e-06
67,0.053967882613957366,0.05405499432551659,1.5625e-06
68,0.05395550778421172,0.05455321528143802,1.5625e-06
69,0.0539607728838268,0.0537063932141005,1.5625e-06
70,0.05395820320849001,0.053891186113074675,1.5625e-06
71,0.053966974540457235,0.053285939650515375,7.8125e-07
72,0.053918545970516485,0.05343781841003289,7.8125e-07
73,0.0539261298322112,0.053815110570798484,7.8125e-07
74,0.0539527704436196,0.05360883556432643,7.8125e-07
75,0.053961225506598064,0.054344856006614234,7.8125e-07
76,0.05392228092753539,0.054329451236684444,7.8125e-07
77,0.05394516073602394,0.0541848398871341,3.90625e-07
