epoch,train_loss,val_loss,lr
1,0.11686138808727264,0.1238454207777977,0.0001
2,0.15737847983837128,0.17302371561527252,0.0001
3,0.13093188405036926,0.16984939575195312,0.0001
4,0.1286676973104477,0.1427004635334015,0.0001
5,0.12459229677915573,0.11959557235240936,0.0001
6,0.12347756326198578,0.1195598840713501,0.0001
7,0.11671486496925354,0.14086148142814636,0.0001
8,0.11975045502185822,0.1516197919845581,0.0001
9,0.12215641140937805,0.1395871341228485,0.0001
10,0.11559286713600159,0.11871126294136047,0.0001
11,0.11040955781936646,0.11240725219249725,0.0001
12,0.11525361239910126,0.1207832396030426,0.0001
13,0.11634229868650436,0.13411301374435425,0.0001
14,0.11289055645465851,0.14636407792568207,0.0001
15,0.11076755076646805,0.15004530549049377,0.0001
16,0.11033805459737778,0.14400744438171387,0.0001
17,0.1111864522099495,0.13555768132209778,5e-05
18,0.1132877990603447,0.13250893354415894,5e-05
19,0.11239047348499298,0.13128970563411713,5e-05
20,0.11055997014045715,0.13245165348052979,5e-05
21,0.10868114233016968,0.13509860634803772,5e-05
22,0.10816298425197601,0.13666534423828125,5e-05
23,0.1089916005730629,0.13554196059703827,2.5e-05
24,0.10996086895465851,0.1336435228586197,2.5e-05
25,0.10957075655460358,0.1308608055114746,2.5e-05
26,0.1084899827837944,0.12787330150604248,2.5e-05
27,0.1080176830291748,0.12535539269447327,2.5e-05
28,0.10840807855129242,0.12391972541809082,2.5e-05
29,0.10810600221157074,0.12377889454364777,1.25e-05
30,0.10769503563642502,0.12432684004306793,1.25e-05
31,0.10842081159353256,0.12527982890605927,1.25e-05
32,0.1069694310426712,0.12656337022781372,1.25e-05
33,0.10779953747987747,0.12801794707775116,1.25e-05
34,0.10753852874040604,0.1294020712375641,1.25e-05
35,0.10748578608036041,0.13076168298721313,6.25e-06
36,0.10757003724575043,0.13120749592781067,6.25e-06
37,0.10750409960746765,0.13154754042625427,6.25e-06
38,0.10798428952693939,0.1317090392112732,6.25e-06
39,0.10726572573184967,0.13172271847724915,6.25e-06
40,0.10714870691299438,0.13161881268024445,6.25e-06
41,0.10727253556251526,0.13131733238697052,3.125e-06
